
This file was downloaded on 2021-10-19T04:14:35 UTC from snrcat.physics.umanitoba.ca
G;id_uncertain;id_new;id_alt;id_old;type;type_uncertain;context;remnant;SN_year;SN_association;age_min (yr);age_max (yr);distance_min (kpc);distance_max (kpc);size_coarse (arcmin);size_imprecise;size_radio;size_X;J2000_ra (hh:mm:ss);J2000_dec (dd:mm:ss);J2000_from
G356.3-00.3;;;;;shell;;;eje;;;;;;;8.8;;11'x7';;17:37:56;-32:16:00;Green J coord
G356.3-01.5;;;;;shell;;;eje;;;;;;;17;;20'x15';;17:42:35;-32:52:00;Green J coord
G357.7+00.3;;;the Square;;shell;;;eje;;;10000;10000;6.4;6.4;24;;24';;17:38:35;-30:44:00;Green J coord
G357.7-00.1;1;;The Tornado, MSH 17-39;;thermal composite;1;contains unrelated compact source G357.63-0.06;eje?;;;;;11.8;11.8;4.9;1;8'x3';;17:40:29;-30:58:00;Green J coord
G358.0+03.8;;;;;shell;;;eje;;;;;;;38;;38';;17:26:00;-28:36:00;Green J coord
G358.1+00.1;;;;;shell;;;eje;;;;;;;20;;20';;17:40:38;-30:30:00;paper G name
G358.3+00.2;1;simplified;;;filled-centre;1;PWN candidate G358.29+0.24 and PSR J1740-3015 = B1737-30;PSR,PWN?;;;;;;;0;1;;-;17:40:33;-30:15:50;paper G name
G358.5-00.9;;;;;shell;;;eje;;;;;;;17;;17';;17:46:10;-30:40:00;Green J coord
G358.6-01.0;1;simplified;;;filled-centre;1;PWN candidate G358.55-0.96 and PSR J1745-3040 = B1742-30;PSR,PWN?;;;;;;;0;1;;-;17:45:55;-30:40:25;paper G name
G359.0-00.9;;;;;shell;;;eje;;;9700;9700;;;23;;23';;17:46:50;-30:16:00;Green J coord
G359.1+00.9;;;;;shell;;;eje;;;;;;;12;;12'x11';;17:39:36;-29:11:00;Green J coord
G359.1-00.5;;;;;thermal composite;;close to PSR J1747-2958 + PWN G359.23-0.82 = the Mouse;eje;;;17000;20700;5;8.5;24;;24';;17:45:30;-29:57:00;Green J coord
G359.2-00.8;;;Mouse;;filled-centre;;bow shock PWN G359.23-0.82 = the Mouse and PSR J1747-2958, close to SNR G359.1-0.5;PSR,PWN;;;;;;;4.9;1;12'x2';40"-45";17:47:00;-30:01:10;paper G name
G359.9-00.0;1;simplified;;;filled-centre;1;bow shock PWN G359.95-0.04 encompassing CXOGC J174539.7-290022 and PSR candidate CXOGC J174539.7-290020, close to BH Sgr A*, SNR Sgr A East and PWN candidate Cannonball;PSR?,PWN?;;;;;8;8;0.07;1;;8"x2";17:45:39;-29:00:00;paper G name
