-31108.781958065185, 24786.73389811626
-21832.522378822265, 13287.373759390848
-14280.9944801421, -4482.18899399857
-13908.079522182587, 18156.054463286688
-10924.75985850647, -13781.294350717602
-9759.400614882987, -8179.69397096648
-9153.413808198777, -20761.980324629098
-8407.583892279748, 15566.903526744845
-7102.381539421447, -4239.876774634176
-4538.591203449789, 4523.340559349104
-3979.2187665105157, 12449.479317346268
-3979.2187665105157, -33520.49374692036
-3652.918178295942, -910.3273900344429
-3466.460699316187, -3391.7840068587684
-3000.317001866795, -26442.855689727832
-2813.8595228870327, 835.2180420535587
-1695.1146490084939, -6142.476422976877
-1601.8859095186126, 1539.7183835389515
-1322.199691048976, 4698.751761919295
-622.9841448748921, -2003.587908378875
-250.0691869153743, 8255.927776831042
915.2900567081088, 3576.9359315285474
775.4469474732905, -2621.897828402034
1940.8061910967735, 1958.5296268848324
2127.263670076529, 543.5459261519645
2546.7929977809836, -2729.708700413612
3991.838459874103, 11465.544850836275
4644.43963630325, -1201.9995059360372
6089.48509839637, 1652.3985513915322
6975.158123550216, -4150.131508202918
9772.020308246574, -3813.586759085694
10051.70652671621, -9059.19758199282
17323.54820692674, -627.629800775976
22544.357618359936, 2912.8209599372276
24921.690475351847, 14150.560049247873
33405.50576893079, 14892.998162451928
